rssd,name,report_date,drawn,undrawn,ead_basel,ead_us,rwa_reported,cet1,cet1_ratio_reported,card_rwa_us,card_rwa_45,card_rwa_75,card_rwa_100,cet1_ratio_basel_45,cet1_ratio_basel_75,cet1_ratio_basel_100,cet1_ratio_offbs_only,meets_minimum_75,meets_buffer_75,capital_status,outflow_30d,liquid,liquidity_cover,dq30_rate,dq90_rate,nco_rate,yield_rate,allowance_to_cards,notes
1391778,COMENITY BANK,2024-09-30,6586261.0,46448723.0,11231133.3,6586261.0,6833333.0,1191249.0,0.17432913045507953,6586261.0,5054009.985,8423349.975000001,11231133.3,0.22471808649079023,0.13739227495902814,0.1037835592642693,0.11546481293622035,True,True,above buffer,2322436.15,1161710.0,0.5002118142193059,0.03868036811781373,0.04232021779883913,0.05836397112786616,0.20957264239675816,0.12550428839670946,
1391778,COMENITY BANK,2024-12-31,6987394.0,44036154.0,11391009.4,6987394.0,7203514.0,1190402.0,0.1652529584866497,6987394.0,5125954.23,8543257.05,11391009.4,0.22283516640688833,0.13590030354955435,0.10255782967320068,0.11330443976619176,True,True,above buffer,2201807.7,1343330.0,0.6101032347193626,0.033926811626766716,0.0386382963376618,0.07654496389760047,0.27165677193494275,0.12084491013387824,
1391778,COMENITY BANK,2025-03-31,6548288.0,43030806.0,10851368.600000001,6548288.0,6906267.0,1173398.0,0.1699033645817632,6548288.0,4883115.870000001,8138526.450000001,10851368.600000001,0.22388413663651155,0.13810360116934897,0.10468031163562096,0.11579306575487812,True,True,above buffer,2151540.3000000003,1339539.0,0.6225953564523052,0.03442594461330962,0.037961983345876055,0.018170808912895124,0.06544832252598018,0.12304574875142939,
1391778,COMENITY BANK,2025-06-30,6410832.0,42841236.0,10694955.600000001,6410832.0,6727727.0,1063788.0,0.15811997127707472,6410832.0,4812730.0200000005,8021216.700000001,10694955.600000001,0.20738124051024687,0.1275814043124416,0.09660392595591516,0.10701210082303375,True,True,above buffer,2142061.8000000003,1242075.0,0.5798502172066183,0.03403442798064276,0.03553704105800932,0.03631861671038881,0.13294379783098384,0.1209468599395523,
1391778,COMENITY BANK,2025-09-30,6346682.0,38053085.0,10151990.5,6346682.0,6599442.0,1015435.0,0.15386679661704733,6346682.0,4568395.725000001,7613992.875,10151990.5,0.21062065984188882,0.12907930579934482,0.09759340216759643,0.10741452696230269,True,True,above buffer,1902654.25,1172867.0,0.6164372744023251,0.03634749621928435,0.03736235721279245,0.0536050565340343,0.20304051264998893,0.11998505675879144,
1391778,COMENITY BANK,2025-12-31,6756180.0,37768445.0,10533024.5,6756180.0,6979457.0,1054628.0,0.1511045916609272,6756180.0,4739861.025,7899768.375,10533024.5,0.21249217625778197,0.129831602719565,0.09804745618184837,0.1074824996197612,True,True,above buffer,1888422.25,1226993.0,0.6497450451031278,0.03363720327167127,0.03574845548816047,0.06981352519845278,0.267575833619458,0.11397091255709588,
2122997,CREDIT FIRST NATIONAL ASSOCIATION,2023-03-31,0.0,8360132.0,836013.2000000001,0.0,10470.0,37752.0,3.605730659025788,0.0,376205.94000000006,627009.9,836013.2000000001,0.09763214127054297,0.05922069072295456,0.044598640587314664,0.05922069072295456,True,False,within buffer range,418006.60000000003,36171.0,0.08653212652623188,,,,,,
2122997,CREDIT FIRST NATIONAL ASSOCIATION,2023-06-30,0.0,9158354.0,915835.4,0.0,10120.0,36988.0,3.6549407114624506,0.0,412125.93,686876.55,915835.4,0.08759823925360276,0.053067694524456394,0.03994576844629882,0.053067694524456394,True,False,within buffer range,457917.7,35921.0,0.07844422698663973,,,,,,
2122997,CREDIT FIRST NATIONAL ASSOCIATION,2023-09-30,0.0,9794815.0,979481.5,0.0,10109.0,34773.0,3.439806113364329,0.0,440766.675,734611.125,979481.5,0.07712325576224532,0.046692708888456586,0.03513877710022479,0.046692708888456586,True,False,within buffer range,489740.75,33921.0,0.06926317648674324,,,,,,
2122997,CREDIT FIRST NATIONAL ASSOCIATION,2023-12-31,0.0,10154033.0,1015403.3,0.0,9114.0,36275.0,3.9801404432740837,0.0,456931.48500000004,761552.4750000001,1015403.3,0.07783575030235514,0.04706964838453625,0.03540691797005282,0.04706964838453625,True,False,within buffer range,507701.65,36920.0,0.07271987396534953,,,,,,
2122997,CREDIT FIRST NATIONAL ASSOCIATION,2024-03-31,0.0,10584231.0,1058423.1,0.0,9765.0,38095.0,3.901177675371224,0.0,476290.3950000001,793817.3250000001,1058423.1,0.07837584026816531,0.04740646827940124,0.03566319452538368,0.04740646827940124,True,False,within buffer range,529211.55,38420.0,0.07259856667905301,,,,,,
2122997,CREDIT FIRST NATIONAL ASSOCIATION,2024-06-30,0.0,10563634.0,1056363.4000000001,0.0,10193.0,37470.0,3.6760521926812517,0.0,475363.5300000001,792272.55,1056363.4000000001,0.07716918151631076,0.046693593263910205,0.03513175674535354,0.046693593263910205,True,False,within buffer range,528181.7000000001,37170.0,0.07037350972212782,,,,,,
2122997,CREDIT FIRST NATIONAL ASSOCIATION,2024-09-30,0.0,10942193.0,1094219.3,0.0,8509.0,37006.0,4.349042190621694,0.0,492398.68500000006,820664.4750000001,1094219.3,0.07387788430516892,0.044629985299517685,0.0335585837417975,0.044629985299517685,False,False,breaches 4.5% minimum,547109.65,37419.0,0.06839396819266486,,,,,,
2122997,CREDIT FIRST NATIONAL ASSOCIATION,2024-12-31,0.0,11268213.0,1126821.3,0.0,8873.0,36569.0,4.121379465795108,0.0,507069.585,845115.9750000001,1126821.3,0.07087804159449253,0.04282139590853617,0.03219968613032574,0.04282139590853617,False,False,breaches 4.5% minimum,563410.65,36419.0,0.06464024064862814,,,,,,
2122997,CREDIT FIRST NATIONAL ASSOCIATION,2025-03-31,0.0,11570422.0,1157042.2,0.0,9441.0,38616.0,4.090244677470607,0.0,520668.99,867781.6499999999,1157042.2,0.0728452599054019,0.04402075117417454,0.03310463451166721,0.04402075117417454,False,False,breaches 4.5% minimum,578521.1,38419.0,0.06640898663851673,,,,,,
2122997,CREDIT FIRST NATIONAL ASSOCIATION,2025-06-30,0.0,11065783.0,1106578.3,0.0,9286.0,38490.0,4.144949386172733,0.0,497960.23500000004,829933.7250000001,1106578.3,0.07588030692825151,0.04586403161579644,0.034493441541234,0.04586403161579644,True,False,within buffer range,553289.15,38419.0,0.06943747225117282,,,,,,
2122997,CREDIT FIRST NATIONAL ASSOCIATION,2025-09-30,0.0,11256023.0,1125602.3,0.0,9439.0,37466.0,3.969276406398983,0.0,506521.03500000003,844201.7250000001,1125602.3,0.07261415121037426,0.043889658614869854,0.033008490528053915,0.043889658614869854,False,False,breaches 4.5% minimum,562801.15,36919.0,0.06559865771418555,,,,,,
2122997,CREDIT FIRST NATIONAL ASSOCIATION,2025-12-31,0.0,11435050.0,1143505.0,0.0,9652.0,37417.0,3.8766058847907168,0.0,514577.25,857628.75,1143505.0,0.07137526187254908,0.04314289231024671,0.03244744644484662,0.04314289231024671,False,False,breaches 4.5% minimum,571752.5,36418.0,0.06369539267427776,,,,,,
236153,FIRST INTERNATIONAL BANK AND TRUST,2023-03-31,14724.0,95759.0,24299.9,14724.0,4145089.0,416581.0,0.10049989276466681,14724.0,10934.955000000002,18224.925000000003,24299.9,0.10059184423408905,0.10041508260183128,0.10026825508839474,0.10032606434513905,True,True,above buffer,4787.95,633532.0,132.31800666255913,0.003124151045911437,0.00040749796251018743,0.00102431029773286,0.010994263862332695,2.9343928280358598,
236153,FIRST INTERNATIONAL BANK AND TRUST,2023-06-30,15288.0,82143.0,23502.300000000003,15288.0,4212609.0,416566.0,0.09888551251730222,15288.0,10576.035000000002,17626.725000000002,23502.300000000003,0.09899624361887457,0.09883064445360353,0.09869306777187285,0.09874110870083103,True,True,above buffer,4107.150000000001,670362.0,163.21829005514772,0.005167451596023024,0.0007849293563579278,0.0011636927851047323,0.021075769330230153,2.9390371533228676,
236153,FIRST INTERNATIONAL BANK AND TRUST,2023-09-30,15034.0,84995.0,23533.5,15034.0,4324208.0,426850.0,0.09871171784521003,15034.0,10590.075,17650.125,23533.5,0.09881326678702933,0.09865203384017833,0.09851807443728892,0.09856641402841264,True,True,above buffer,4249.75,609720.0,143.47196893934938,0.01902354662764401,0.0014633497405880005,0.0031545741324921135,0.032511427283847295,3.1084874284954105,
236153,FIRST INTERNATIONAL BANK AND TRUST,2023-12-31,15117.0,85716.0,23688.6,15117.0,4386756.0,435638.0,0.09930755209544365,15117.0,10659.869999999999,17766.449999999997,23688.6,0.09940855540051288,0.09924760994680953,0.09911388630053423,0.09916223189978786,True,True,above buffer,4285.8,683831.0,159.55737551915627,0.02566646821459284,0.00039690414764834294,0.007304692336263464,0.04259007057075647,3.0621816497982404,
236153,FIRST INTERNATIONAL BANK AND TRUST,2024-03-31,14782.0,84318.0,23213.800000000003,14782.0,4389906.0,447359.0,0.10190628227574805,14782.0,10446.210000000001,17410.350000000002,23213.800000000003,0.1020070318290492,0.10184530486369447,0.10171092361300672,0.10175969302423986,True,True,above buffer,4215.900000000001,693290.0,164.4465001541782,0.0120416723041537,0.0002029495332160736,0.00618731275237723,0.011853588641396379,3.247801380056826,
236153,FIRST INTERNATIONAL BANK AND TRUST,2024-06-30,15172.0,83875.0,23559.5,15172.0,4488385.0,450734.0,0.10042231225708133,15172.0,10601.775,17669.625,23559.5,0.10052466986663158,0.10036646192684673,0.1002350018819053,0.10028176393708055,True,True,above buffer,4193.75,765609.0,182.55952309985096,0.010479831268125494,0.0001318217769575534,0.008774659281847034,0.022839006783247247,3.080015818613235,
236153,FIRST INTERNATIONAL BANK AND TRUST,2024-09-30,15712.0,84033.0,24115.300000000003,15712.0,4489004.0,465510.0,0.10370006353302426,15712.0,10851.885000000002,18086.475000000002,24115.300000000003,0.10381245828377339,0.10364524000618765,0.1035063023978282,0.1035546747677532,True,True,above buffer,4201.650000000001,742609.0,176.74223221829516,0.019921079429735235,0.0002545824847250509,0.010116780116155624,0.035471179666520955,2.8632892057026478,
